participant_id,trial_num,browser_name,browser_version,os,os_version,window_width,window_height,gender,age,experience,timestamp_tutorial,formatted_data_tutorial,first_design_time,second_design_time,condition_texture,strategy_goal,strategy_geo,strategy_icon,compare_texture,different_chart_geo,different_chart_icon,timestamp_end,formatted_data_end
97635173939289040,0,Chrome,110.0.0.0,macOS,10.15.7,2074,1218,woman,45,20,1677523669331,20230227 13:47:49,76448,41650,1,"""I wanted to see if textures could help to differentiate between different categories.""","""Again, I felt like some of the icons were too distracting and took away from understanding the size of the pie segment, so I would make these ones more of a subtle background texture. ""","""I tried to get all the textures to 'read' at the same level so that none of them would stick out. But now maybe I would want to emphasize some categories more than others with a stronger texture. ""","""I'm not sure how well these textures, especially the icons, work in this case. The system is well designed and I think that the user could finesse the parameters enough so that a good effect could be achieved without distracting from the visual parameters that one would want to read from the chart itself. For pie charts, I like the use of the hatches rather than colour actually, and it would be interesting to study these textures on the same level as color, to see about saliency issues. ""","""Yes! I like the old school feeling of the Bertin maps. Simple and easy to see the same pattern across regions. Same with bar chart, although I would adjust the parameters so they all read more evenly. ""","""Bar charts, yes, this is kind of fun as bar charts are so familiar to people that it is a good use of interior space for encoding categorical information on top of the labels. The map, no, shape and shape is too confusing, especially at this scale. """,1677593426855,20230228 09:10:26
7.72699E+16,0,Chrome,110.0.0.0,Windows,NT 10.0,1918,1028,man,55,31,1677672618461,20230301 07:10:18,2207,5391,0,"""Looking for a mapping that worked well across different pie distributions. The random dataset button was useful here since I saw very thin slices and could re-adjust my mapping to address these. They didn't seem to be present or as prevalent in the default dataset.""","""Tried to make the textures as perceptually distinguishable as possible. Also did the check noted above to try to make sure things were working for small and large slices.""","""Tried to balance outline versus detailed textures and white versus black, e.g., 3 white, 3 black, 1 or 2 outlines, 2 or 1 textured. Same deal with tweaking size and density to make things work as well as possible for thin slices.""","""Well, geometric textures are more abstract than iconic textures, I suppose you get a ""double encoding"" for icons since they both identify the type of slice through their icon and the fact their icon is supposed to represent the slice's attribute (although I swear those olives look like cherries...) Maybe the iconic textures are more aesthetic, but I'd need to run some post-hoc experiments to verify that. It could just be the fact I grew up picking fruit and my grandparents owned a fruit orchard. And since undergraduate school, I'm allergic to fresh fruit. Life is... awesome""","""The bar graph looks fine. The map seems a bit of a hot mess, probably because you have too many counties, so it gets confusing. If each county is a particular ""value"" (of the 7? you have) I'd go for hue or some other colour feature here rather than texture. But I'm a colour guy, so maybe I'm biased... (no, I still think colour would be better, heh)""","""Same as before, however, I think the geometric textures do better than the icons for the bar graph, even with the dual encoding. The map looks very abstract. But not so useful as a visualization, at least to me. Icons need a certain type of size/density that doesn't work well when you start getting smaller areas like this, in addition to the ""hard to distinguish between so many occurrences of each icon"" issue.""",1677676157162,20230301 08:09:17
15799298937682948,0,Chrome,110.0.0.0,macOS,10.15.7,1686,920,woman,62,12,1677704726281,20230301 15:05:26,3245,9701,1,"""discriminatory power, association""","""The geometrics were more about differentiating the categories by characteristic. Size and density were helpful. The mushrooms being large overwhelm the others, not the best choice. The left hand side of the chart is dark verses the right being light. I should have distributed the overall values better. I loved finding I could make diamonds as it gave me another shape, something I was missing. In general background and scale were useful, rotation not as much so. I wanted more geometric shapes! The choices were a bit boring.  ""","""In general if they are upright they are easier to recognized. Applying the relative scale of the veggies to the icons. didn't but should have apply to the mushrooms and the eggplant whose scale should have been reversed. I made the olives smaller. They are small but the icon had more detail so needed to be smaller. The background being black verses white made a huge difference in distinguishing one section from another. I would have preferred to have a gray which is distinguishable but not so abrupt. For contrast purposes I made the cherries solid and teh surrounding icons simple and open. The celery I made larger to give it a distinct pattern to contrast with the simplicity of the mushrooms. The corn is solid to contrast with the open celery. I used the white halo to make a clearer distinction between sections. The other reason I wanted a gray background is that the change of background adds a lot of contrast and draws attention. It is too much. With gray, I could have used the background value but not overwhelmed the the other categories.""","""The icons are associative which is good but they get a bit cluttered. The geometric has no association therefore much reading the charts takes more effort. I think ther is a sweet spot somewhere in between association and geometry that provides for association and visual variety but calmer visual combinations. We are working in specifically this area for 3D glyphs. Looking forward to the outcomes of your study. I think they will apply to our work too!""","""The bar chart is fine .... except for the big buttons! The map shapes themselves get in the way. Ifthe map were larger and the textures smaller, that would be much better.""","""definitely not on the map.  
 not crazy about them on the bar chart although if the icons were a bit smaller it might have been better""",1677706535918,20230301 15:35:35
35811319443683852,0,Chrome,110.0.0.0,macOS,10.15.7,1440,658,woman,38,15,1677736020336,20230302 06:47:00,12520,5614,0,"""Best readability
 Pleasant
 note - it was hard to imagine a high-res e-ink device as most of them are small screens - hence the emphasis on readability first, rather that aesthetic pleasure.""","""Readable: the 7 textures should be as distinct as possible (no ambiguity) => selection of 2 dots, 2 stripes, 2 circles & 1 grid + alternance of black and white backgrounds. A pie black stroke is kept to ensure clear separation between sectors.
 

 Pleasant + readable: the textures should work for small sectors while not being overwhelming in big ones => balanced density & size of objects
 

 Pleasant: there should be a sense of consistency between the 7 textures - e.g. the densities are at least paired like eggplant-tomato / olive-corn. An error I did on this design, in my opinion, is that the stroke of the mushroom & carrot lines should have been more similar.
 Also, a white space (halo) is needed to avoid a feeling of cluttering around the sectors' limits.""","""Readable:
 - there should be no ambiguity as to what the icon represents => e.g keeping the details for the corn, choosing black background for light-colored vegetables, slecting a rotation which wouldn't compromise the icon recognition while allowing maximum size (eg in their current design, the carrots / eggplants / celery should be placed using alternating gridlines so they wouldn't touch when turned at 45° )
 - the 7 textures should be as distinct as possible (no ambiguity) => variations of angles and backgrounds
 The celery vs mushroom disambiguation was particularly difficult to achieve.
 

 Pleasant + readable (same as for geometric): the textures should work for small sectors while not being overwhelming in big ones => balanced density & size of objects
 Note: it feels like the complexity of the iconic textures make them less effective than geometric textures for small sectors.
 

 Pleasant (same as for geometric): there should be a sense of consistency between the 7 textures - e.g. the densities ans size are kept somewhat similar""","""As mentioned, it feels like the iconic textures would be a bit more challenging to use regarding readability concerns.
 The tool and controls you offered made it very easy to manipulate the textures.""","""They still work for a chart bar wich has large geometric surfaces.
 Most of them won't work on the geographical map because of the scale and complexity of the shapes of the territories.""","""Same as previous - even more obvious for the map, the patterns and halo should be scaled down
 On the bar chart the position should center the pattern better (eg the carrot), especially the eggplant should be shown entirely""",1677739525520,20230302 07:45:25
99380262115067060,0,Chrome,110.0.0.0,macOS,10.15.7,1358,833,woman,37,12,1677836001263,20230303 10:33:21,288560,341682,0,"""Contrast and balance, readability and where I could, harmony.""","""Try to let space define better the textures and make the data understandable.""","""I tried to minimise the outlines, to make the icons more simple and obvious, working always with space and contrast.""","""It has been difficult to harmonise in the angles, I always prefer to design content and forms inside the pattern so as to optimise final aesthetics. Optically, I would have delete some circles/icon that seemed useless.""","""Absolutely not, the texture make the data confused.""","""Neither, we cannot guess the different patterns, ans so, makes the data difficult to understand
 """,1677838079872,20230303 11:07:59
15947034838223128,2,Chrome,110.0.0.0,Windows,NT 10.0,1536,754,man,21,2,1677925573233,20230304 05:26:13,153490,61065,0,"""Overall goal was to create visualizations for pie chart where people can tell what portion of the whole 100% belong to each vegetable. ""","""The focus was on using color contrast like black vs white to create distinctions to adjacent visualizations. A mostly dark segment of the pie chart is adjacent to 2 mostly light segments of the bar chart. ""","""I reduced the size and density of the vegetables where I can fit one of each vegetable at least completely in each segment of the pie chart. I worried less about the contrast in color between adjacent icons since they should be differentiable enough to not need color contrast to separate which section is which. ""","""When using geometric textures colors contrast is more important and the pattern that is used is another thing to consider that can add to the color contrast. Iconic textures rely less on color contrast but more on the actual image or icon so having a noticeable icon helps ""","""Bar charts work since each bar is separated so color contrast doesnt need to taken into consideration, but the geographic location of the region information is lost. The map of France works in some serverity since patterns are so different even among the same/ similar color regions but the visualization can be improved to make the color contrast better. ""","""Yes bars work since each Icon is separated but we lose the geographic information like which vegetable is each regions favorite vegetable. The map works but is not as good as the map with geometric textures since the Iconic texture are a bit hard and confusing to look at where I am not sure what some area's favorite vegetables is since some areas are just white space.""",1677926521758,20230304 05:42:01
91035332955247090,0,Chrome,109.0.0.0,macOS,10.15.7,1440,789,woman,28,7,1678112719975,20230306 09:25:19,3553470,123427,0,"""easy visual separation between the categories ""","""trying to alternate between dense and sparse""","""maintaining recognizability ""","""could work, interesting to design, but not sure about visual effectiveness ""","""not a fan of the map on the right""","""Maybe, but when there are too many categories, icons might lose their recognizability with density and become less effective""",1678116518530,20230306 10:28:38
22672235477774730,0,Chrome,110.0.0.0,macOS,10.15.7,1536,881,woman,29,5,1678183727843,20230307 18:08:47,2140,2726,0,"""My goals were to (1) make each slice distinctly different, (2) make any adjacent slices visually contrasting, (3) make the visualizations aesthetically pleasing.""","""I did not use any known methods/principles rather than my intuition. I simply played with different shapes, sizes, and background colors to make sure that they aligned with the goals I listed above. I tuned the thickness of the bar to intentionally give it a more sketchy look.""","""I am not sure if there were any methods or principles involved in my design, but I did want to make sure that (1) there is some variation in the icons I chose for different vegetables, and (2) the orientation of each icon is generally the same as shown in the legend, and (3) the icons of of the same size and are visible even when encoding a small data point.""","""Iconic texture can readily link data to meaning and create a sense of novelty, however it feels a bit messy to me both as a designer and viewer. I prefer geometric texture for pie chart representations, but I could see iconic texture be a better fit to axis-aligned charts, such as bars and lines.""","""I think the geometric texture works well with a bar chart, but less optimal for a map. 
 For the bar, each distinct texture represents a different category, which aligns well with the goal of a bar chart: to represent categorical data.
 For the map, 7 textures will likely be visually overwhelming, and it makes more sense to rely on color attributes, such as darkness, to encode the values. ""","""It works okay for the bar, but not very well for the map.
 For the bar, the textures are still recognizable though cutting off. For the map, the icon sizes are too big to fit into the map pieces, and it is not conveying any useful visual information.""",1678186452719,20230307 18:54:12
96029056014742780,0,Chrome,110.0.0.0,macOS,10.15.7,1728,899,man,41,15,1678228610948,20230307 15:36:50,5298,42075,0,"""I was mostly trying to make sure that each segment is distinct. ""","""I used the same pattern at different ""coarseness"" levels. ""","""I tried to alternate filled and not-filled icon versions to make it more distinct.""","""The icons are more playful, maybe more fun. Of course, the icons have to be specific to the thing that is represented, which isn't necessary for the textures. Encoding shares of iPhone sales, for example, with a mushroom would be terrible. ""","""Same answer as for textures, they don't really work on maps, and for bar charts seem unnecessary. ""","""I think in the map example it's problematic because the districts are to small for the pattern to be recognizable. Also, there are just too many. I'm missing a legend. 
 

 For the bar chart, it seems redundant information because the categories are already encoded by position. And I wouldn't say that the redundancy helps here. """,1678229243744,20230307 15:47:23
45452653725520344,0,Chrome,107.0.0.0,macOS,10.14.6,1705,1077,woman,38,13,1678294011063,20230308 09:46:51,19050,5449,1,"""I wanted each slice to be distinct from the others while achieving a visual balance so that no one slice overwhelmed the others. ""","""I varied the ink density of each slice consecutively and gradually, the way I would if I were applying a monochromatic colour scheme to a solid-colour pie chart. I chose a white solid colour slice instead of the default black because the black was too strong compared to the textured slices. I also chose a similar texture for each (dots) to reduce the cognitive load of deciphering the patterns. I found that separating the textures with a thick halo helped to keep them distinct from one another.""","""I found the icons to be quite overwhelming, so I tried to fade them into the background as much as possible. I kept the icons relatively small and chose the lowest-ink versions of icons. To keep the slices distinct, I varied the density and rotation between slices. I started by rotating icons roughly toward the center of the circle, then kept rotating until I found a pleasing texture. In the end, I found that the position of the slice in the circle made a difference: if consecutive slices had very different rotations, it could be very jarring. You can see that my mushroom-eggplant-corn-celery sequence is loosely rotated counter-clockwise around the circle, but I broke it up a little bit with the carrot because the carrots looked strange when not oriented downwards. I found that separating the textures with a thick halo helped to keep them distinct from one another.""","""Too much variety can be overwhelming - much like in any visualization design, but especially apparent in this exercise. To achieve a pleasing yet readable chart, it is important to keep several texture parameters constant except in cases when emphasis is needed. It is also important to think about how each texture interacts with its neighbours, how it flows from one to the next. I think this would be a much more difficult task if the order/positioning of elements were not predictable. The exercise was easier with the geometric textures than with the icons. I think this was because I was able to keep the shape constant within the geometric version, approximating the use of a sequential colour scheme. With the icons, varying the same parameters produced wildly different results depending on the icon and I was trying to interpret the shapes at the same time as the textures. That said, I was pleasantly surprised by this exercise, and would consider designing with textures more often - especially geometric textures. I hope you make your tool available for designers!""","""This works all right in the bar chart context, though I would vary the parameters to fit the bar shape better. It doesn't not work in the map context - there is too much going on and the textures are barely visible.""","""This works in the bar chart, though I would vary the rotation, particularly for the eggplant category (it makes the bar look like it is leaning and is distracting). In the map context, this actually works surprisingly well. I think some improvements could be made to make the pieces a little bit easier to find preattentively, as well as some adjustment to the density to better fit the context of the smaller sections. However, overall I am able to see higher and lower densities and find distinct pieces.""",1678298108655,20230308 10:55:08
41358698384501280,0,Chrome,109.0.0.0,macOS,10.15.7,1370,899,man,34,5,1678398889650,20230309 15:54:49,2749,109467,0,"""I tried to visually represent personal preferences:
 1) olive (favorite)
 2) corn
 3) tomato & mushroom
 4) carrot & eggplant
 5) celery (least favorite)""","""The more I like the vegetable, the more visually prominent its dots are.
 - bigger (favorite) <-> smaller (lease favorite)
 

 Also I chose to use the same glyph for all vegetables as my preference is an ordinal data. And there are no glyphs that represent each vegetable.
 

 I left my least favorite vegetable ""celery"" completely empty. As this is completely different than the rest (despite it follows the same scale - but not linear - the extreme at the worst), this highlights how much I dislike celery compared to others. 
 

 Also I tried to be careful not to invoke tryphobia; so I wouldn't use inverted colors.""","""In this example, unlike the geometric textures example, personal favorites are visually less prominent. 
 - white (favorite) <-> black (least favorite) --- since the background color is white 
 - no details (favorite) <-> detailed icon (least favorite)
 - smaller (favorite) <-> bigger (lease favorite)
 

 For instance, 
 - for ""olive"", despite of being my favorite, I left it blank.
 - for ""celery"", which is my least favorite, I made it pop-out (colored in black and chose the icon with the most details). 
 - other vegetables follow the same logic. For ""eggplant"" and ""carrot"", my next least favorites, they are colored in black yet their icons are ones with less details). 
 

 One might think it makes more sense to make my favorite vegetables more visibly prominent (coloring them in black and with detailed textures).
 I decided not to do this because doing a bad job at depicting food can more harm than doing nothing. 
 As my choice of colors and images are limited, I decided to create more spaces for my favorite vegetables to enable audience to fill the spaces with their own imagination. 
 And this is possible, I think, since these vegetables are familiar to people and icons for other vegetables set the context.
 ""","""I enjoyed using the tool, the motivation makes a great sense. Lessons from this study could be important for visualizing data in mediums with less flexibility, as you have mentioned 3D printing in the beginning. 
 

 Take-away
 - When choices are limited, one might not use the most data-ink for the most important variables as
 -- there are already visually crowded (playing with empty spaces can be more useful.
 -- one might trigger negative responses (like coloring food in black)
 

 Improvements:
 - for the second figure, I tried to rotate the vegetables so that the central axis are aligned with that of pie. This is needed especially when a pie is small - to ensure the glyphs are shown. However, when I switch the setting to look at other data, the layout seems to reset (I might be wrong though). ""","""yes and no.
 - no: as I made the ""celery"" empty, I don' t see it. It can be confusing as some people might think the value is at 0.
 - yes: other than this, geometric texture seems to work fine; shows the order.
 

 Also having outlines would make sense for bar charts and maps. ""","""- no: as I was playing with a density, for some values, like corn, it is difficult to see where the bar ends. this is the same for ""olive""
 - no: for the map, it is difficult to see what glyphs are represented in each section. """,1678404930713,20230309 17:35:30
62730917848025580,0,Chrome,110.0.0.0,macOS,10.15.7,1410,625,man,49,20,1677514310514,20230227 10:11:50,321440,69646,1,"""- Differentiating the different categories using contrasting densities of black/white, while retaining the icon (as best as possible) for the first design
 - If I spent more time, I would have tried to make sure that each of the regions showed at lest one full icon clearly, and also that adjacent regions weren't too similar in terms of density of icons.
 - For the icons, I initially tried rotating them all at different angles, perhaps because I know that tilt is an effective encoding, and thinking that this could help provide some redundancy, but I didn't like the way it ended up looking. ""","""See above. It was much easier to quickly come up with something that seems relatively effective, and overall it looks a million times better. Although looking at it again now, I think it's hard to distinguish borders between adjacent regions when one region is all black and the other is using the thick black horizontal stripes (like in the lower right hand part of the map). I probably should have made them just a bit narrower. I also don't like that there are some adjacent regions where the stripes line up and look like a ""zig-zag,"" ie, where one horizontal stripe is rotated 45 degrees and the other is rotated 135 degrees. I should have adjusted these angles slightly, as my brain automatically tries to infer some connection between them when they line up. ""","""See above. Overall, I don't think the icon chart looks very good, it was hard to come up with an effective way to differentiate them. I don't like that I've chosen similar black backgrounds for carrots and celery, it looks a bit confusing when they are adjacent. I think the icons themselves could perhaps be designed better. ""","""I love the use of hand-drawn icons on maps! However, in this experiment, the designer isn't able to edit the icons themselves, and the iconic textures are only used to indicate category, so they aren't very useful or interesting or aesthetically pleasing, and you are better off using the geometric textures. ""","""Yes, with some fine tuning, like the ""eggplant"" dots should be adjusted so that the first dot isn't cut off (same with the olive dots, though not as glaring). I'd probably make sure that ""tomato"" wasn't solid black in the pie chart. ""","""I think they work better in this context. They work fine in the bar chart, although I'd want to fine tune it, and I guess it could come across as ""chart junk."" In the pie chart the densities/backgrounds of the textures aren't quite distinct enough. I'd want to fine tune that as well, and make sure to alternate wedges so that, for example, the carrot and celery textures with black backgrounds aren't next to each other, and I'd ""spread"" the olives and the mushrooms apart more. I think the iconic textures overall work better here because the areas are so much bigger. In the map, some of the regions were so small that it was harder to come up with distinct textures that fit the different region sizes and shapes. """,1677516526841,20230227 10:48:46
7.63932E+16,0,Chrome,110.0.0.0,macOS,10.15.7,1322,804,woman,49,30,1677682229462,20230301 08:50:29,182590,358954,0,"""a bright image where everything can be seen; vary the size to help with distinguishing elements""","""I liked that the carrots, celery and corn, stuff that would be planted in rows was dots. I tried to vary sizes so things stood out.""","""I tried to balance dark versus light and make the size of texture related to the density of the objects, like olives are small, so I tried to make them dense and smaller; tomatoes are bigger, I tried to make them bigger. The eggplant image was hard to make work, I wanted it rotated just so, and then it made it hard to have them big enough so you could still see them. The mushroom and celery images are too similar. Rotation was important for the icons to make sense, I didn't like the carrots upside for example. Corn could be tilted to provide a slightly different orientation, but only so much.""","""The iconic textures image is much more rich in information; without having any text you can kind of guess what it going on. However, I feel like the images get really small and I didn't like adding a lot of dark versus light regions because it was harder to resolve the images. There is a lot more variation in texture in the geometric image, but you would have to spend a lot of time mapping in your head what the horizontal lines represent. It may be easier to compare variable s int he geometric texture image. There is a lot of similarity in my iconic textures image.""","""yes, I think it is still easy to distinguish the different textures and variables.""","""Everything reads okay, but I don't like how similar the carrots and celery are (size, orientation, density)""",1677683484718,20230301 09:11:24
8.23736E+16,0,Chrome,110.0.0.0,Windows,NT 10.0,1536,746,woman,24,3,1677729315905,20230302 11:55:15,178341,359215,0,"""Clear and distinctive zoning and texture differences.""","""No, the auto-generated ones are good enough for the needs.""","""Yes, I need to make sure the texture style is uniform and the size is similar.""","""The structure is logical and clear, but I was unable to edit the eggplant when I doing text 2. In addition, the panning function of the texture seems to be of little use.""","""yes""","""yes""",1677730313445,20230302 12:11:53
80001666294798190,0,Chrome,110.0.0.0,macOS,10.15.7,1772,964,man,53,25,1677743828806,20230302 08:57:08,409002,121097,0,"""Maximizing the differences to avoid confusion, try to provide memorization hints (based on color contrast or texture), minimizing noise""","""yes, try to maximize the structure differences, avoid contrast scale, base contrast on vegetable color… but first of al differenciate the textures patterns and contrast""","""reduce the scale to have more icons in each region, base icon contrast on vegetable color, reduce noise but keep a bit of details in the icons. Reduce the regions line stroke to leave the place to icons""","""Doubt. on one hand the icons based is self explanatory (does not need a caption, which the geometric definitely does) on the over hand its more noisy. Would need more tries. The geometric is much more legible but not more readable""","""Yes they do, maybe useless in the bar chart, but always helpful in the pie chart
 ""","""Not at all, redundant with the labels and noisy""",1677745400226,20230302 09:23:20
